Question,Reponse
"['\n    ""J’ai perdu mon objet sur le réseau RATP et souhaite effectuer une recherche sur l’ensemble du réseau Métro, Bus, RER et Tramway ? ""\n', '\n    ""Je viens de perdre un objet dans un métro ou RER, comment puis-je le récupérer?""\n', '\n     « Je viens de perdre un bien dans un bus ou un tramway, comment puis-je le récupérer ? »\n', '\n    ""Est-ce que quelqu’un peut aller chercher mon objet à ma place ?""\n', '\n    ""J’ai perdu mon passe Navigo avec ma photo imprimée, sur le réseau RATP, est-il possible de le retrouver ?""\n', '\n    ""J’ai perdu mon passe Navigo EASY ou DECOUVERTE sur le réseau RATP, est-il possible de le retrouver ?""\n', '\n    ""J’ai perdu des denrées alimentaires, où puis-je les retrouver ?""\n', ""\n    Exercice du droit d'accès\n""]","['Après avoir renseigné votre annonce sur France Objets Trouvés, si celui-ci a été retrouvé sur le réseau RATP, vous serez prévenu(e) par sms ou mail. ? Suivez le parcours de votre objet directement depuis votre espace https://ratp.franceobjetstrouves.fr/\n\xa0']"
"['\n    J’ai trouvé un passe Navigo, à qui dois-je la remettre ?\n', '\n    Pouvez-vous me transmettre les coordonnées du propriétaire du passe Navigo pour que je puisse moi-même lui remettre ?\n']",['Nous vous remercions de remettre le passe Navigo que vous avez trouvé à un agent RATP.']
"['\n    Découvrir maRATP\n', '\n    La newsletter maRATP\n']","['Avec maRATP, l’Île-de-France va vous surprendre. Vous aurez toutes les infos indispensables pour voyager avec un temps d’avance. Vous découvrirez nos secrets et nos services étonnants. Mais aussi des bons plans, des concours, des balades inspirées et inspirantes....On vous emmène ?\xa0']"
"['\n    Toute l’actu RATP à portée de main\n', '\n    Comment suis-je informé(e) de toutes ces actus ?\n']","['Inattendus : les services RATP\xa0\nOui, on peut vous prêter un parapluie, garder vos clés, vous donner un plan en braille ou récupérer vos colis. Et sans maRATP vous ne seriez même pas au courant...', ""Indispensable : l'info sur vos trajets\xa0\nSavoir avant tout le monde qu’il y aura des travaux sur votre trajet, que les tickets de bus s’achètent par SMS ou qu’il y a deux nouvelles stations sur votre ligne, ça peut être utile, non ?\xa0"", 'Insoupçonnés : les bons plans sur vos lignes\xa0\nAssister à une avant-première, à une opération éphémère de votre marque préférée, devenir jury du plus grand casting musical de France. C’est bien sur vos trajets que ça se passe...\xa0\n\xa0', "">\xa0Découvrir l'actu du mois""]"
"['\n    Quelles sont les modalités d’inscription ?\n', '\n    Les données personnelles saisies sur l’espace maRATP sont-elles protégées ?\n', '\n    Comment se désinscrire à maRATP ?\n']","['Donnez-nous une adresse email et, si vous avez le temps, quelques informations sur vos centres d’intérêt et vos trajets, nous nous occupons du reste !', ""M'inscrire à maRATP""]"
"['\n    Comment télécharger l’application ""Bonjour RATP"" ?\n', '\n    Quels sont les prérequis techniques pour consulter l’application ""Bonjour RATP"" ?\n', '\n    Pourquoi l’application me demande l’autorisation d’accéder aux données de mon smartphone ?\n', '\n    Comment ajouter un widget ?\n', '\n    Comment utiliser le service billettique depuis mon application?\n', '\n    Quelles sont les fonctionnalités disponibles en mode hors-ligne ?\n', '\n    Comment nous contacter ?\n']","['L’application est disponible en téléchargement sur l’App Store pour les smartphones iOS et sur Google Play pour les smartphones Android.', '\xa0']"
"['\n    Combien de comptes Twitter existe-t-il ?\n', '\n    Comment les comptes Twitter de lignes RATP sont-ils alimentés ?\n', '\n    Quelles informations puis-je trouver sur le compte Twitter de ma ligne ?\n']","['Il existe 24 comptes Twitter de lignes RATP, pour chaque ligne de métro, RER et Tramway, actifs tous les jours pendant la durée du service. Ces comptes ont pour mission d’accompagner nos clients sur nos différents réseaux. Nous répondons à vos questions 5 jours sur 7 de 9h à 19h. Un compte dédié au Service Client, @ClientsRATP, est à votre écoute 7j/7 de 9h à 19h pour répondre à toutes vos questions (réclamations, objets trouvés…).', 'Le compte @RATPGroup, compte du Groupe RATP, vous informe de toute l’actualité de l’entreprise. ', 'Le compte @RATPrecrute est le fil dédié à la marque employeur. Il accompagne les candidats dans leur recherche d’emploi à la RATP.', 'Le saviez-vous\xa0? Notre égérie, Serge, a lui aussi un compte Twitter\xa0: @SergeLapinRATP\xa0!']"
['\n    Les étapes de paiement\n'],"['Toutes les étapes de paiement de votre amende sont disponibles sur le site https://pv.ratp.fr/. En cas de question, vous pourrez contacter notre Assistant PV ? matérialisé par une bulle verte en bas à droite .']"
"['\n    Ile-de-France Mobilités , c’est quoi\xa0?\n', '\n    Qui décide des tarifs\xa0?\n', '\n    Les augmentations de tarif, ça sert à quoi\xa0?\n']","['""Ile-de-France Mobilités"" est l’autorité organisatrice des transports publics d\'Île-de-France. C’est un établissement public local, composé de représentants de la Région d\'Île-de-France, de la Ville de Paris, des sept départements franciliens, des Établissements publics de coopération intercommunale (EPCI) et de la Chambre régionale de commerce et d\'industrie de Paris Île-de-France (CRCI).']"
"[""\n    En cas de mouvement social, comment informez-vous les voyageurs\xa0de l'état du trafic ?\n""]","['Malgré nos efforts, nous ne pouvons pas toujours empêcher les mouvements sociaux particulièrement pénalisants pour nos clients.', ""Néanmoins, lorsque les grèves sont inévitables, nous mettons en place un dispositif renforcé d'information voyageurs qui vise à les tenir informés en temps réel, de l’état du trafic sur nos lignes."", 'Appeler le 3424 pour obtenir une attestation de perturbation – message préenregistré\xa0', ""Je consulte l'état du trafic""]"
"['\n    Que faites-vous pour lutter contre la fraude\xa0?\n', ""\n    Que faites-vous pour lutter contre l'insécurité ?\n"", '\n    Est-ce que le Métro est nettoyé\xa0?\n']","[""La fraude constitue, en effet, un problème particulièrement aigu dans tous les transports en commun d'Île-de-France. C’est pourquoi nous maintenons constamment nos effectifs de contrôle et multiplions les actions répressives avec le concours des forces de police spécialisées.""]"
"[""\n    Pourquoi autorisez-vous l'affichage de publicités choquantes sur votre réseau ?\n""]","['Nous évitons bien sûr d’afficher des images publicitaires véhiculant une atteinte à la morale ou faisant l’apologie de la violence. Mais la censure des affiches n’est pas laissée à l’arbitraire du propriétaire ou de l’exploitant des emplacements où elles sont apposées. Comme toutes les entreprises, nous devons nous conformer au principe de la liberté d’affichage, tel qu’il est défini par les dispositions légales en vigueur.', 'Dès lors qu’une affiche publicitaire n’a pas fait l’objet d’une mesure d’interdiction et ne transgresse pas les règles définies par le nouveau Code pénal, rien ni personne ne saurait s’opposer à son affichage. ', 'En cas de refus, la RATP peut tout simplement être assignée en justice pour refus de vente par les annonceurs et condamnée à verser des dommages et intérêts.']"
['\n    Service client RATP\n'],"['Le service clientèle de la RATP met à disposition de ses clients plusieurs canaux de contact adaptés à leurs usages.\xa0', 'La page Aide et Contact\xa0vous permet d’accéder à différents canaux pour entrer en relation avec un conseiller de clientèle :\xa0', 'Nous vous remercions de n’utiliser qu’un seul canal de contact à la fois, ou bien de préciser à chaque nouvelle prise de contact si vous avez déjà contacté notre service pour un même dossier.\xa0', '\xa0Dès lors qu’une décision vous aura été rendue en passant par l’un des canaux ci-dessus, vous aurez la possibilité de contacter le Service Consommateur pour contester l’avis rendu.', 'Un service de médiation\xa0se tient également à votre disposition, mais vous devez rentrer en contact avec le Service Clientèle RATP avant toute démarche.\xa0', 'Enfin, un\xa0service des objets perdus/trouvé\xa0vous permet de déclarer une perte en ligne.\n\xa0', '\xa0']"
"['\n    Est-il possible pour un tiers de commercialiser un service ou une application qui utilise les données ouvertes présentes sur ce site ?\n', '\n    Quelles sont les licences d’utilisation des données ouvertes ?\n', '\n    Pourquoi utiliser la Licence Ouverte d’Etalab pour la réutilisation publique de vos données ?\n', ""\n    Pourquoi utiliser une licence spécifique RATP pour l'utilisation des plans de métro et RER ?\n"", ""\n    Qu'en est-il des plans destinés à l'édition ?\n"", ""\n    Pourquoi avoir décidé d'ouvrir les droits à seulement deux plans ?\n"", '\n    Qu’est ce qui guide le choix des données ouvertes ?\n', '\n    Comment est animée la démarche open data par la RATP ?\n', '\n    Pouvez-vous valoriser les services utilisant les données open data de la RATP ?\n', '\n    Comment télécharger un jeu de données ?\n', '\n    Comment proposer à la RATP un service développé avec des données open data ?\n']","['Oui, bien sûr, toutefois, il devra s’assurer qu’il respecte la licence d’utilisation du jeu de données.']"
